Timestamp;Frame;ID;DLC;D0;D1;D2;D3;D4;D5;D6;D7
25965;EFF;18000200;8;24;82;0;1A;0;0;0C;DF
26163;EFF;18000300;8;24;82;0;1A;0;0;0C;E5
26164;EFF;18000400;8;24;82;0;1A;0;0;0C;E1
26164;EFF;18000500;8;24;82;0;1A;0;0;0;2D
26363;EFF;18000600;8;24;82;0;1A;0;0;0C;E4
26364;EFF;18000700;8;24;82;0;3A;0;0;0;1A
26364;EFF;18000800;5;1E;41;C8;CC;CD;;;
26393;EFF;1800000A;5;1E;41;52;D6;D3;;;
26393;EFF;1800010A;5;1E;41;49;91;95;;;
26394;EFF;1800020A;5;1E;3A;10;EC;B2;;;
26394;EFF;1800030A;5;1E;BB;11;38;0;;;
26394;EFF;1800040A;5;1E;41;C6;4A;3C;;;
26395;EFF;1800050A;5;1E;41;C6;4A;3C;;;
26395;EFF;1800060A;1;3D;;;;;;;
26395;EFF;1800070A;5;1E;37;1D;6A;5F;;;
26397;EFF;1800080A;5;1E;36;35;90;4B;;;
26397;EFF;1800090A;5;1E;37;1D;6A;5F;;;
26397;EFF;18000A0A;5;1E;36;35;90;4B;;;
26398;EFF;1800640A;5;1E;3D;4C;CC;CD;;;
26398;EFF;1800650A;5;1E;42;5C;0;0;;;
26398;EFF;1800660A;5;2;0;0;0;3C;;;
26399;EFF;1800670A;5;1E;40;A0;0;0;;;
26399;EFF;1800680A;5;1E;3F;80;0;0;;;
26399;EFF;1800690A;5;2;0;0;0D;6B;;;
26405;EFF;18000900;5;1E;42;92;F8;3C;;;
26963;EFF;18000000;8;24;82;0;1A;0;0;33;8A
26964;EFF;18000100;8;24;82;0;1A;0;0;32;E2
26964;EFF;18000200;8;24;82;0;1A;0;0;0C;DF
27163;EFF;18000300;8;24;82;0;1A;0;0;0C;E4
27163;EFF;18000400;8;24;82;0;1A;0;0;0C;E1
27165;EFF;18000500;8;24;82;0;1A;0;0;0;2D
27362;EFF;18000600;8;24;82;0;1A;0;0;0C;E4
27362;EFF;18000700;8;24;82;0;3A;0;0;0;22
27362;EFF;18000800;5;1E;41;C8;CC;CD;;;
27366;EFF;6800000A;5;1E;41;52;C2;3C;;;
27366;EFF;1800010A;5;1E;41;49;B6;49;;;
27367;EFF;1800020A;5;1E;BB;FA;F8;CE;;;
27367;EFF;1800030A;5;1E;3B;F2;0;0;;;
27367;EFF;1800040A;5;1E;41;C6;2A;C0;;;
27368;EFF;1800050A;5;1E;41;C6;2A;C0;;;
27368;EFF;1800060A;1;3D;;;;;;;
27369;EFF;1800070A;5;1E;B7;0;2B;3;;;
27369;EFF;1800080A;5;1E;37;F9;60;D0;;;
27370;EFF;1800090A;5;1E;B7;0;2B;3;;;
27370;EFF;18000A0A;5;1E;37;F9;60;D0;;;
27371;EFF;1800640A;5;1E;3D;4C;CC;CD;;;
27371;EFF;1800650A;5;1E;42;5C;0;0;;;
27371;EFF;1800660A;5;2;0;0;0;3C;;;
27372;EFF;1800670A;5;1E;40;A0;0;0;;;
27372;EFF;1800680A;5;1E;3F;80;0;0;;;
27373;EFF;1800690A;5;2;0;0;0D;6B;;;
27562;EFF;18000900;5;1E;42;92;F8;3B;;;
27962;EFF;18000000;8;24;82;0;1A;0;0;33;8A
27962;EFF;18000100;8;24;82;0;1A;0;0;32;FA
27964;EFF;18000200;8;24;82;0;1A;0;0;0C;DF
28162;EFF;18000300;8;24;82;0;1A;0;0;0C;E4
28162;EFF;18000400;8;24;82;0;1A;0;0;0C;E1
28163;EFF;18000500;8;24;82;0;1A;0;0;0;2D
28340;EFF;1800000A;5;1E;41;52;BD;C4;;;
28340;EFF;1800010A;5;1E;41;49;9F;1F;;;
28340;EFF;1800020A;5;1E;BB;75;89;AB;;;
28341;EFF;1800030A;5;1E;3B;41;94;0;;;
28341;EFF;1800040A;5;1E;41;C6;4A;3C;;;
28342;EFF;1800050A;5;1E;41;C6;4A;3C;;;
28342;EFF;1800060A;1;3D;;;;;;;
28343;EFF;1800070A;5;1E;B7;3A;BE;1A;;;
28343;EFF;1800080A;5;1E;38;2A;4;4A;;;
28343;EFF;1800090A;5;1E;B7;3A;BE;1A;;;
28344;EFF;18000A0A;5;1E;38;2A;4;4A;;;
28344;EFF;1800640A;5;1E;3D;4C;CC;CD;;;
28345;EFF;1800650A;5;1E;42;5C;0;0;;;
28345;EFF;1800660A;5;2;0;0;0;3C;;;
28346;EFF;1800670A;5;1E;40;A0;0;0;;;
28346;EFF;1800680A;5;1E;3F;80;0;0;;;
28347;EFF;1800690A;5;2;0;0;0D;6B;;;
28353;EFF;18000600;8;24;82;0;1A;0;0;0C;E4
28353;EFF;18000700;8;24;82;0;3A;0;0;0;22
28354;EFF;18000800;5;1E;41;C8;CC;CD;;;
28551;EFF;18000900;5;1E;42;92;F8;3A;;;
28961;EFF;18000000;8;24;82;0;1A;0;0;33;8A
28961;EFF;18000100;8;24;82;0;1A;0;0;32;D9
28962;EFF;18000200;8;24;82;0;1A;0;0;0C;DF
29159;EFF;18000300;8;24;82;0;1A;0;0;0C;E5
29159;EFF;18000400;8;24;82;0;1A;0;0;0C;E1
29160;EFF;18000500;8;24;82;0;1A;0;0;0;2D
29312;EFF;1800000A;5;1E;41;52;D6;D0;;;
29312;EFF;1800010A;5;1E;41;49;B9;9B;;;
29313;EFF;1800020A;5;1E;BA;29;9B;0F;;;
29313;EFF;1800030A;5;1E;3B;72;0;0;;;
29314;EFF;1800040A;5;1E;41;C5;D6;E8;;;
29314;EFF;1800050A;5;1E;41;C5;D6;E8;;;
29314;EFF;1800060A;1;3D;;;;;;;
29316;EFF;1800070A;5;1E;B7;92;30;58;;;
29316;EFF;1800080A;5;1E;38;62;B5;84;;;
29317;EFF;1800090A;5;1E;B7;92;30;58;;;
29317;EFF;18000A0A;5;1E;38;62;B5;84;;;
29317;EFF;1800640A;5;1E;3D;4C;CC;CD;;;
29319;EFF;1800650A;5;1E;42;5C;0;0;;;
29319;EFF;1800660A;5;2;0;0;0;3C;;;
29319;EFF;1800670A;5;1E;40;A0;0;0;;;
29320;EFF;1800680A;5;1E;3F;80;0;0;;;
29320;EFF;1800690A;5;2;0;0;0D;6B;;;
29326;EFF;18000600;8;24;82;0;1A;0;0;0C;E4
29326;EFF;18000700;8;24;82;0;3A;0;0;0;22
29327;EFF;18000800;5;1E;41;C8;0;0;;;
29360;EFF;18000900;5;1E;42;92;F8;3A;;;
